Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.9,0.0,0.0
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.8,3.286,2.094
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.7,47.403,45.489
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.5,6.528,2.764
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.5,5.768,2.444
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-7.0,46.977,44.224
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-6.9,49.3,48.053
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-6.9,8.458,4.39
5IKR_Human_Cyclooxygenase2_Prepared_156391_uff_E=140.28,-6.9,49.249,48.846
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.7,0.0,0.0
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.6,3.977,1.822
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.4,3.042,2.067
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.2,22.919,20.965
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.2,31.619,30.077
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.0,23.008,21.553
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-6.0,34.809,33.629
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-5.9,28.093,26.329
5IKR_Human_Cyclooxygenase2_Prepared_2244_uff_E=163.90,-5.9,23.514,21.659
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-7.3,0.0,0.0
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-7.1,14.847,13.325
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-7.0,16.783,14.829
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.8,5.411,3.705
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.7,4.94,2.455
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.7,5.554,3.684
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.7,23.691,22.339
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.7,17.776,15.843
5IKR_Human_Cyclooxygenase2_Prepared_3033_uff_E=293.72,-6.6,35.426,33.955
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.9,0.0,0.0
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.5,2.301,1.791
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.4,25.029,21.339
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.4,49.096,47.812
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.3,24.354,23.121
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.3,3.436,2.499
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.2,49.946,48.843
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.2,24.774,23.577
5IKR_Human_Cyclooxygenase2_Prepared_3672_uff_E=120.63,-6.1,50.063,48.832
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-7.6,0.0,0.0
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-7.5,25.945,24.501
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-7.4,23.604,21.975
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-7.3,33.066,30.806
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-7.1,26.166,24.964
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-6.9,21.677,18.868
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-6.9,25.183,23.823
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-6.8,3.087,1.765
5IKR_Human_Cyclooxygenase2_Prepared_4044_uff_E=269.03,-6.6,6.628,4.755
